mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
0; 0; 0.9; -11.0241; 1.12112; 49; -8.62745; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -11.0638; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -14.25; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 0, 10, 0, 0, 10, 10, 0, ];
0; 0; 0.9; -11.0279; 1.12496; 50; -8.62745; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -11.0638; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -15.1282; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -11.3073; 1.78013; 51; -9; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 0, 10, 10, 0, ]; -11.1111; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 0, 10, 10, 0, ]; -24.4444; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, -10, 0, ];
0; 0; 0.9; -11.1681; 1.3439; 52; -9; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 0, 10, 10, 0, ]; -11.087; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 0, 10, 10, 0, 10, 10, 0, ]; -17.6471; [10, 10, 10, 10, 0, 0, 10, -10, 10, -10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -11.0323; 1.13414; 53; -9.16667; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 0, 10, 10, 0, ]; -10.8889; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -14.8718; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, -0, ];
0; 0; 0.9; -10.9678; 1.19923; 54; -9; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 0, 10, 10, 0, ]; -10.8696; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 0, 0, 10, 10, 0, 10, 10, 0, ]; -15.6757; [10, 10, 10, -10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -11.0561; 1.26211; 55; -8.62745; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.8696; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 0, 0, 10, 10, 0, 10, 10, 0, ]; -14.1463; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 0, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -11.1498; 1.26465; 56; -8.62745; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.8889; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -14.7368; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -11.04; 1.13401; 57; -8.62745; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -11.0638; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -14.1463; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -10.9062; 1.81949; 58; -8.36735; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.6522; [10, 10, 10, 10, 0, 10, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -25.3571; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, -10, 0, 10, 10, 0, ];
