mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100; Genes(Scores(99,1),:);
0; 10; 1; -305.776; 861.989; 22; -45.8367; [-15.4024, -7.78077, -17.9236, -5.57144, 15.1601, -14.8196, -17.5628, -7.07566, -19.4727, -12.2204, -6.16267, -0.93388, -10.9821, 3.79507, -0.729556, 3.22245, -11.4057, 14.1862, -1.7348, 15.2409, 17.028, ]; -55.994; -15.4024, -7.78077, -15.1433, -9.77294, 11.8008, -5.74831, -17.5628, -10.3143, 7.05608, 11.2361, -6.16267, -18.2476, -6.60496, -12.1547, -5.95774, 3.22245, -14.6476, -9.41378, 20.9911, 10.6246, -7.16257, ]; -5435.13; -0.32587, -1.16041, -0.687609, 4.31353, -4.18196, -0.057734, 8.47025, 4.2923, 12.5306, 2.53964, 8.21301, -7.6195, 1.97999, 6.20146, -15.9826, -7.31736, 0.710905, -7.18464, -17.8898, 13.6287, 6.4383, ];
0; 10; 1; -325.138; 1083.08; 23; -41.4953; [-15.4024, 4.4434, 6.13494, -9.77294, 11.8008, -10.3442, -17.5628, -10.3143, -18.9622, -12.2204, -13.3665, -18.2476, -6.60496, -12.1547, -7.03717, 7.88038, 8.12034, 6.06268, 20.9911, -1.34488, -7.16257, ]; -55.6761; -15.4024, 4.4434, -1.8683, -9.77294, 15.1601, -0.234328, -17.5628, -10.3143, -18.9622, 11.2361, -13.3665, -18.2476, 14.856, 12.1547, -7.03717, 3.22245, 4.42313, 6.06137, -10.2983, -3.36271, -11.2024, ]; -8794.78; -15.4024, -7.78077, 6.13494, -5.55564, 11.8008, -5.74831, -12.3888, 8.16995, 11.4793, -12.2204, -13.3665, -18.2476, 4.8228, 3.70313, -5.95774, 3.22245, -14.6476, -9.41378, -3.6589, -1.34488, -11.2024, ];
0; 10; 1; -233.925; 648.001; 24; -41.0604; [-6.60493, -7.78077, -11.1211, -5.55564, 10.0423, -0.234328, -17.5628, 8.16995, 7.05608, -12.2204, -13.3665, -12.2058, 14.856, -2.66016, -4.60355, -1.52198, 11.029, 6.06268, -3.6589, -5.96746, -7.16257, ]; -55.6761; -15.4024, 4.4434, -1.8683, -9.77294, 15.1601, -0.234328, -17.5628, -10.3143, -18.9622, 11.2361, -13.3665, -18.2476, 14.856, 12.1547, -7.03717, 3.22245, 4.42313, 6.06137, -10.2983, -3.36271, -11.2024, ]; -5435.13; -0.32587, -1.16041, -0.687609, 4.31353, -4.18196, -0.057734, 8.47025, 4.2923, 12.5306, 2.53964, 8.21301, -7.6195, 1.97999, 6.20146, -15.9826, -7.31736, 0.710905, -7.18464, -17.8898, 13.6287, 6.4383, ];
0; 10; 1; -190.364; 402.066; 25; -41.0604; [-6.60493, -7.78077, -11.1211, -5.55564, 10.0423, -0.234328, -17.5628, 8.16995, 7.05608, -12.2204, -13.3665, -12.2058, 14.856, -2.66016, -4.60355, -1.52198, 11.029, 6.06268, -3.6589, -5.96746, -7.16257, ]; -57.3934; -15.4024, -7.78077, -17.9236, -9.77294, 15.1601, -14.8196, 19.8584, -10.3143, -19.4727, -12.2204, -13.3665, -18.2476, -10.9821, -12.1547, -5.95774, 3.22245, -11.4057, -9.41378, -1.7348, 15.2409, 17.028, ]; -3097.39; 2.07236, 9.90944, 11.573, 15.0228, 0.129829, 1.52547, -0.856495, -9.40275, -0.569582, -13.94, 1.33779, 0.191658, 10.1922, 15.8339, -4.13425, 3.18329, -5.42054, 10.4466, 10.9239, -7.52203, 6.292, ];
0; 10; 1; -1980.27; 17756.9; 26; -44.6942; [-15.4024, 4.4434, -11.1211, -5.55564, 10.0423, -10.3442, -12.3888, -10.3143, -6.62331, -9.95293, -0.325756, -0.93388, -10.9821, 3.79507, 2.03634, -1.52198, 4.42313, -9.41378, -1.7348, -3.36271, -11.2024, ]; -54.7011; -6.60493, 1.9508, -1.8683, -5.55564, 10.0423, -0.234328, -12.3888, 8.16995, 11.4793, -9.95293, -0.325756, -12.2058, 14.856, -2.66016, -4.60355, -1.52198, 11.029, -0.611375, -3.6589, -5.96746, -7.16257, ]; -178614; -15.4024, 4.4434, 6.13494, -5.57144, 10.0423, -10.3442, -17.5628, -10.3143, -19.4727, -12.2204, -6.16267, -18.2476, -10.9821, 3.79507, -5.95774, 3.22245, -11.4057, -8.99771, -1.7348, -3.36271, -11.2024, ];
0; 10; 1; -140.617; 355.315; 27; -44.6942; [-15.4024, 4.4434, -11.1211, -5.55564, 10.0423, -10.3442, -12.3888, -10.3143, -6.62331, -9.95293, -0.325756, -0.93388, -10.9821, 3.79507, 2.03634, -1.52198, 4.42313, -9.41378, -1.7348, -3.36271, -11.2024, ]; -52.3894; -6.60493, 4.4434, 6.13494, -7.68193, 11.8008, -5.74831, -17.5628, -10.3143, -0.0321084, -12.2204, -13.3665, -6.05096, -10.4912, -12.1547, -4.60355, 3.22245, 8.12034, 6.06137, -10.2983, 10.6246, -11.2024, ]; -3097.39; 2.07236, 9.90944, 11.573, 15.0228, 0.129829, 1.52547, -0.856495, -9.40275, -0.569582, -13.94, 1.33779, 0.191658, 10.1922, 15.8339, -4.13425, 3.18329, -5.42054, 10.4466, 10.9239, -7.52203, 6.292, ];
0; 10; 1; -236.955; 934.676; 28; -42.692; [-15.4024, 4.4434, 6.13494, -5.55564, 15.1601, -5.74831, -12.3888, -10.3143, -18.9622, -12.2204, -13.3665, -18.2476, -6.60496, 12.1547, 2.03634, -1.52198, 4.42313, -9.41378, 20.9911, -1.34488, -11.2024, ]; -52.8489; -15.4024, 4.4434, 6.13494, -9.77294, 15.1601, -5.74831, -17.5628, -10.3143, -18.9622, -12.2204, -6.16267, -18.2476, -10.4912, -12.1547, -5.95774, 3.22245, 4.42313, -0.611375, 20.9911, -1.34488, -11.2024, ]; -8787.33; -15.4024, 4.4434, -17.9236, -5.55564, 15.1601, -10.3442, -12.3888, -10.3143, -18.9622, -9.95293, -13.3665, -18.2476, -10.9821, 3.79507, -5.95774, -1.52198, 4.42313, -9.41378, -10.2983, -3.36271, -11.2024, ];
0; 10; 1; -326.223; 1265.22; 29; -42.692; [-15.4024, 4.4434, 6.13494, -5.55564, 15.1601, -5.74831, -12.3888, -10.3143, -18.9622, -12.2204, -13.3665, -18.2476, -6.60496, 12.1547, 2.03634, -1.52198, 4.42313, -9.41378, 20.9911, -1.34488, -11.2024, ]; -52.3197; -15.4024, 4.4434, -17.9236, -9.77294, 10.0423, -10.3442, -17.5628, -10.3143, -18.9622, -12.2204, -13.3665, -0.93388, -10.9821, 3.79507, -7.03717, 3.22245, 4.42313, -9.41378, 20.9911, -3.36271, 0.681358, ]; -8791.64; -15.4024, 4.4434, -17.9236, -9.77294, 11.8008, -10.3442, -12.3888, -10.3143, -6.62331, -9.95293, -13.3665, -18.2476, -10.9821, 3.79507, -5.95774, 3.22245, 8.12034, -9.41378, -10.2983, -3.36271, -11.2024, ];
0; 10; 1; -133.995; 355.895; 30; -42.692; [-15.4024, 4.4434, 6.13494, -5.55564, 15.1601, -5.74831, -12.3888, -10.3143, -18.9622, -12.2204, -13.3665, -18.2476, -6.60496, 12.1547, 2.03634, -1.52198, 4.42313, -9.41378, 20.9911, -1.34488, -11.2024, ]; -52.0359; -15.4024, 4.4434, -17.9236, -9.77294, 11.8008, -15.1775, 19.8584, -10.3143, -6.62331, -9.95293, -6.16267, -6.05096, -10.4912, 3.79507, -7.89844, 3.22245, 4.42313, -9.41378, -1.7348, -5.96746, -11.2024, ]; -3097.39; 2.07236, 9.90944, 11.573, 15.0228, 0.129829, 1.52547, -0.856495, -9.40275, -0.569582, -13.94, 1.33779, 0.191658, 10.1922, 15.8339, -4.13425, 3.18329, -5.42054, 10.4466, 10.9239, -7.52203, 6.292, ];
0; 10; 1; -146.929; 363.877; 31; -41.8972; [-9.00541, 4.4434, 7.73256, -9.77294, 15.1601, -5.74831, -12.3888, -10.3143, -6.62331, -9.95293, -11.3336, -18.2476, -10.9821, -12.1547, -7.89844, 3.22245, 4.42313, -0.611375, -10.2983, -1.34488, -11.2024, ]; -52.9045; -15.4024, 4.4434, 6.13494, -5.55564, 10.4842, -10.3442, -12.3888, -0.124653, -18.9622, -9.95293, -13.3665, -0.93388, -10.9821, -12.1547, 2.03634, -1.52198, 11.029, -9.41378, 20.9911, -3.36271, -11.2024, ]; -3097.39; 2.07236, 9.90944, 11.573, 15.0228, 0.129829, 1.52547, -0.856495, -9.40275, -0.569582, -13.94, 1.33779, 0.191658, 10.1922, 15.8339, -4.13425, 3.18329, -5.42054, 10.4466, 10.9239, -7.52203, 6.292, ];
