mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
0; 8; 0.9; -584.363; 1956.21; 52; -53.7637; [-6.87462, 3.91914, -1.87131, -12.2763, 7.20141, -4.7197, 8.623, -6.32071, -14.1901, -5.05191, -3.16035, 3.55165, -5.11229, -1.82475, -0.930999, -6.97856, -8.58489, -6.31011, -10.5874, -7.77272, 7.15419, ]; -74.3806; [-6.87462, -1.46573, 6.78307, -12.2763, 7.20141, 5.83491, -0.104025, -6.32071, -4.12738, 9.71332, 8.0112, -6.6543, -5.11229, -1.82475, -5.13949, -13.2922, -8.58489, -0.964322, -10.5874, -6.49763, -0.697755, ]; -10747.2; [-6.29831, -17.9901, -5.70422, 14.504, 1.11878, 6.69152, -6.9589, -8.76167, 5.10927, 12.057, 12.2802, -11.9277, 5.10096, 3.02122, 2.19595, 19.2211, 7.09635, 9.68667, 6.30996, -2.82361, -4.19002, ];
0; 8; 0.9; -330.151; 1101.86; 53; -53.4452; [-6.87462, -1.46573, 6.78307, -12.2763, -6.63025, -4.7197, 5.5482, -3.35382, -14.1901, 9.71332, -18.6708, -6.6543, 17.0697, -1.82475, -10.8752, -13.2922, 13.1241, -13.7283, -10.5874, -7.77272, -7.29653, ]; -76.9442; [-15.3866, 13.5295, 6.53471, -9.06126, 13.9869, -9.48457, -13.1833, -3.57962, 18.5316, -6.77199, 8.41753, -10.1796, -1.50938, 8.98167, 12.0163, -12.1739, -5.90108, 8.28355, -1.88112, -0.00627578, -0.265767, ]; -10075.4; [16.3689, 11.6456, -5.56702, 22.8905, 1.4541, 2.43149, 8.61673, 9.83484, 5.16517, 4.39749, -2.82212, -5.45915, -7.07272, -5.8192, 4.43679, -3.44149, 4.03223, 9.55011, 6.17873, 17.4327, -1.33284, ];
0; 8; 0.9; -450.347; 1449.29; 54; -53.2049; [-6.87462, -1.46573, 6.78307, -12.2763, 7.20141, -4.7197, 8.623, -6.32071, -14.1901, -5.05191, -18.6708, 3.55165, -5.11229, -1.82475, -5.13949, -13.2922, 13.1241, -13.7283, 3.79829, -6.49763, -7.29653, ]; -78.9014; [-6.87462, -1.46573, -7.85168, 5.12009, 7.20141, -4.31903, -14.1711, 12.2503, -14.1901, -5.05191, -3.16035, -5.16725, -5.11229, -1.82475, -5.13949, -8.39532, -8.58489, -5.16661, -4.57229, -0.5677, 9.80011, ]; -11713.3; [0.775359, -5.32325, 2.23358, 2.56916, 3.39127, 0.537072, -8.59972, -7.62358, 4.91677, -2.46724, -3.3677, -16.7332, -2.70681, -3.60057, -4.6985, -1.99373, 3.49884, 10.8094, 3.88814, 0.187679, 11.423, ];
0; 8; 0.9; -478.096; 1576.09; 55; -58.9157; [-6.87462, -1.46573, -1.87131, -12.2763, 0.84738, 5.83491, 5.5482, -6.32071, -14.1901, -10.6026, -3.16035, 4.14557, 17.0697, -9.49637, -5.13949, -8.11667, 8.20173, -12.2213, -10.5874, -6.49763, -0.654434, ]; -81.6954; [-0.164738, 13.1671, -11.197, 5.36429, 6.08023, -4.7197, -17.2074, -6.32071, -14.1901, -12.443, -3.16035, 3.55165, -5.64506, -22.9236, -5.08752, -1.59077, 4.8637, -10.3744, -12.0578, 9.21347, -0.697755, ]; -10832; [-6.87462, -1.46573, -1.87131, -12.2763, -7.92113, 5.83491, -0.104025, -6.32071, -14.1901, -10.6026, -3.16035, 4.14557, 2.10638, -1.82475, -5.13949, -8.11667, 8.20173, -13.7283, -10.5874, -7.77272, -0.654434, ];
0; 8; 0.9; -489.968; 1885.77; 56; -58.992; [-6.87462, 1.40776, 6.78307, -12.2763, 7.20141, -4.7197, -0.104025, -6.32071, -14.1901, 9.71332, -3.16035, 3.55165, -5.64506, 12.7657, -5.08752, -13.2922, 13.1241, -9.24368, -10.5874, 9.21347, -0.697755, ]; -78.2136; [-6.87462, -1.46573, -10.4593, 3.08954, 7.20141, -4.7197, -0.277336, -1.08944, -14.1901, 8.92373, -3.16035, -6.6543, -5.11229, 12.7657, -5.13949, -13.2922, -8.58489, -9.24368, -0.784564, 9.21347, -4.16735, ]; -11856.3; [-0.89978, 3.41529, 3.38469, 6.81277, -0.150959, -4.08488, 4.43534, -1.11639, 14.6315, 2.35914, 7.14358, 4.36308, -5.64316, 4.99205, 4.80471, 2.6102, 8.18247, 2.98951, 1.70066, -23.2293, 7.08214, ];
0; 8; 0.9; -455.784; 1401.16; 57; -57.0695; [4.0479, 3.91914, 6.78307, -12.2763, 5.08065, 2.08223, 8.623, -6.32071, -14.1901, -10.6026, -18.6708, 7.55765, -4.19262, 12.7657, -0.930999, -13.2922, -1.96674, -13.7283, 13.8144, -6.49763, -7.29653, ]; -77.2549; [5.5527, -1.46573, -3.55274, -12.2763, -2.3972, 5.83491, 5.5482, -1.08944, -14.1901, 9.71332, 1.82748, -15.2125, 3.22175, -10.3806, -5.13949, 2.32245, -0.103708, -9.24368, -10.5874, 9.21347, -4.28399, ]; -11856.3; [-0.89978, 3.41529, 3.38469, 6.81277, -0.150959, -4.08488, 4.43534, -1.11639, 14.6315, 2.35914, 7.14358, 4.36308, -5.64316, 4.99205, 4.80471, 2.6102, 8.18247, 2.98951, 1.70066, -23.2293, 7.08214, ];
0; 8; 0.9; -419.625; 2045.62; 58; -43.7054; [-0.164738, -1.46573, 6.78307, -10.967, 7.20141, 2.08223, -17.2074, 6.24965, -12.7139, 9.71332, -18.6708, 3.55165, -5.11229, -9.6404, -10.8752, -13.2922, 13.1241, -13.7283, 3.79829, -7.77272, -7.29653, ]; -77.105; [-6.87462, 3.91914, -10.4593, -0.198221, -7.6456, -4.7197, 5.5482, -3.35382, -14.1901, -5.05191, -3.16035, -6.6543, -5.11229, 12.7657, -5.13949, -13.2922, 13.1241, -13.7283, 3.79829, -6.49763, -7.29653, ]; -20510.4; [-1.19118, 12.3589, 5.00223, 0.644092, -5.20659, -13.8706, 8.21558, 22.7177, 14.093, 1.32151, 10.8714, 6.19002, 15.3989, 10.4698, -4.47717, 4.71071, 0.663039, 15.1513, -6.55617, 1.01866, 2.97032, ];
0; 8; 0.9; -464.274; 2242.93; 59; -57.0695; [4.0479, 3.91914, 6.78307, -12.2763, 5.08065, 2.08223, 8.623, -6.32071, -14.1901, -10.6026, -18.6708, 7.55765, -4.19262, 12.7657, -0.930999, -13.2922, -1.96674, -13.7283, 13.8144, -6.49763, -7.29653, ]; -77.5107; [-6.87462, -1.46573, -1.87131, -12.2763, 5.08065, -13.5789, 8.623, -6.32071, -14.1901, 8.92373, -3.16035, 3.55165, -5.11229, -1.82475, -5.13949, -8.11667, 13.1241, -13.7283, 3.79829, -6.49763, -7.29653, ]; -21907; [2.36668, 2.15945, 20.0985, 6.7291, 0.0126463, -1.51898, 10.8292, -6.72143, 3.03496, 7.74605, 3.11207, -9.63562, -3.12431, 6.7841, 2.05023, 5.20249, -1.35635, 13.8624, 15.0236, 3.07416, -0.945301, ];
0; 8; 0.9; -513.293; 2122.85; 60; -57.0695; [4.0479, 3.91914, 6.78307, -12.2763, 5.08065, 2.08223, 8.623, -6.32071, -14.1901, -10.6026, -18.6708, 7.55765, -4.19262, 12.7657, -0.930999, -13.2922, -1.96674, -13.7283, 13.8144, -6.49763, -7.29653, ]; -79.336; [-6.87462, 3.91914, 6.10841, -12.2763, -7.6456, -13.5789, 8.623, -3.35382, -14.1901, 8.92373, 2.09851, 4.14557, -5.11229, -1.82475, -10.8752, -8.11667, 13.1241, -13.7283, -10.5874, -7.77272, -7.29653, ]; -20116.5; [4.11525, 8.12942, 1.72228, 2.5216, -1.51288, 2.70093, -6.96866, 1.42988, 8.9702, 1.21526, 0.757291, 10.1711, 15.8251, 1.57785, 1.48991, -1.79844, -7.59682, 12.1437, 0.0323636, 6.07858, -9.58617, ];
0; 8; 0.9; -459.652; 1513.7; 61; -57.0695; [4.0479, 3.91914, 6.78307, -12.2763, 5.08065, 2.08223, 8.623, -6.32071, -14.1901, -10.6026, -18.6708, 7.55765, -4.19262, 12.7657, -0.930999, -13.2922, -1.96674, -13.7283, 13.8144, -6.49763, -7.29653, ]; -81.3854; [-6.87462, 13.1671, -11.197, -1.93634, 2.82097, 11.2616, 5.5482, 7.79918, -14.1901, 9.71332, -3.16035, 4.31085, -5.11229, -1.82475, -10.8752, 2.24613, 13.1241, -13.7283, -10.5874, -7.77272, -7.29653, ]; -12989; [-3.67254, 6.47745, -2.79684, 7.46295, 4.16593, 13.8016, 0.527021, 9.39725, 6.15515, 4.92172, 8.26898, -9.04298, -9.14303, 1.54585, 1.58744, -1.43479, 2.15391, 5.82297, -19.4227, 9.87555, 2.20757, ];
