mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
0; 0; 0.9; -449.078; 1944.06; 166; -52.9586; [-10, 0, 10, 10, 0, -10, -10, 10, -10, -10, 10, 10, 10, 0, 0, -10, 0, 10, -10, -10, 10, ]; -71.3568; [-10, 0, 10, -10, -10, 10, -10, 10, -10, 0, 0, 0, 10, -10, 10, 10, 0, 10, 0, -10, 10, ]; -18489.7; [10, 0, -10, -10, -10, 0, -10, 10, -10, -10, 0, 10, 10, -10, -10, 10, -10, 10, 0, 10, 10, ];
0; 0; 0.9; -442.537; 3002.49; 167; -60.2037; [-10, 0, 10, -10, -10, 10, -10, 10, -10, 0, 10, 0, 10, 0, 10, 10, 0, 10, 0, -10, 10, ]; -72.9098; [0, -10, 0, -10, 10, 10, 10, 10, -10, -10, 10, 0, 0, -10, -10, -10, 0, 10, 0, 10, 10, ]; -30243.9; [10, 0, -10, -10, -10, 0, 10, 10, -10, -10, -10, 10, 10, -10, 0, 10, -10, 10, 0, 10, 10, ];
0; 0; 0.9; -284.468; 473.684; 168; -59.4067; [0, -10, -10, -10, -10, -10, -10, 10, -10, 0, 10, 0, 10, 0, -10, -10, 0, 10, 0, 10, 10, ]; -75.2833; [0, 0, -10, 10, -10, -10, -10, 0, -10, -10, 0, 10, 10, -10, -10, 10, 0, 0, 0, 0, 10, ]; -2796.03; [-10, -10, 0, -10, -10, 10, 10, -10, -10, -10, -10, 10, 10, -10, -10, 0, 0, -10, 10, 0, -10, ];
0; 0; 0.9; -371.502; 1004.1; 169; -59.4067; [0, -10, -10, -10, -10, -10, -10, 10, -10, 0, 10, 0, 10, 0, -10, -10, 0, 10, 0, 10, 10, ]; -73.3566; [10, 0, -10, 0, 10, 10, 10, 10, -10, 0, 0, 0, 10, -10, -10, 10, -10, 0, 0, 10, -10, ]; -6145.32; [-10, 0, 0, -10, 10, 0, 10, 10, -10, -10, 0, 10, 10, -10, -10, 10, -10, 10, -10, -10, 10, ];
0; 0; 0.9; -2068.31; 13827.4; 170; -52.7581; [-10, 0, -10, -10, -10, 10, 10, 10, 10, 0, 0, 0, 10, -10, 10, -10, 0, 10, 0, 10, -10, ]; -75.4955; [-10, -10, 10, -10, -10, 10, 10, 10, -10, -10, 10, 10, 10, -10, 10, 10, 0, 10, 0, -10, 10, ]; -136839; [-10, 0, -0, -10, -10, -10, -10, 10, -10, -10, -10, 10, 10, -10, -10, 10, -10, 10, 0, 10, -10, ];
0; 0; 0.9; -602.395; 2678.68; 171; -62.1278; [-10, 0, 0, 10, 10, 10, -10, 0, 10, -10, 10, 10, 10, -10, 0, -10, -10, 0, -10, -10, 10, ]; -75.8001; [10, 0, 0, -10, 10, 0, -10, 10, -10, -10, -10, 10, 10, -10, -10, 10, -10, 0, -10, 10, 10, ]; -25781.9; [-10, -10, 10, -10, 10, 10, 10, -10, -10, -10, 10, 0, 10, -10, -10, 10, 0, 10, 0, -10, 10, ];
0; 0; 0.9; -453.546; 1240.65; 172; -56.0309; [10, -10, -10, -10, 0, 0, 10, 10, -10, 0, 10, 10, 10, 0, -10, 10, 0, 10, 0, 10, -10, ]; -76.8689; [10, -10, -10, 10, -10, 0, 10, 10, 0, -10, 10, 10, 10, 0, -10, 10, 0, 10, 0, 10, 10, ]; -8808.57; [0, -10, 10, -10, -10, 10, 10, 10, -10, -10, 10, 10, 10, -10, -10, 10, 0, -10, -10, 10, 10, ];
0; 0; 0.9; -2052.59; 12334; 173; -42.6662; [-10, 0, 10, 10, -10, 0, 10, -10, 10, -10, 10, 0, 10, -10, 0, 10, 0, 10, 0, -10, 10, ]; -73.3164; [10, -10, -10, -10, 0, 10, 10, 10, -10, 0, 10, 0, 10, -10, -10, 10, 0, 10, 0, 10, -10, ]; -119225; [-10, 0, 10, -10, 0, 10, -10, 10, -10, 0, 10, 10, 10, -10, -10, -10, 0, 0, -10, -10, -10, ];
0; 0; 0.9; -914.369; 4378.13; 174; -42.6662; [-10, 0, 10, 10, -10, 0, 10, -10, 10, -10, 10, 0, 10, -10, 0, 10, 0, 10, 0, -10, 10, ]; -73.24; [10, 0, -10, -10, 0, 10, 10, 10, -10, 0, 10, 0, 10, -10, -10, 10, -10, 10, 0, 10, 10, ]; -35326.5; [-10, -10, -10, -10, -10, 10, 10, 10, -10, -10, 10, 0, 10, -10, -10, -10, 0, -10, -10, 10, 10, ];
0; 0; 0.9; -395.854; 1126.98; 175; -42.6662; [-10, 0, 10, 10, -10, 0, 10, -10, 10, -10, 10, 0, 10, -10, 0, 10, 0, 10, 0, -10, 10, ]; -72.7599; [10, 0, -10, -10, 0, 10, 10, 10, 0, 0, 10, 0, 10, -10, -10, 10, 0, 0, 0, 10, 10, ]; -7375.94; [10, 0, -10, -10, -10, 10, 10, 10, -10, -10, 10, 0, 10, 0, -10, 10, 0, 0, 0, 10, 10, ];
