mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
0; 0; 0.9; -795.23; 3373.99; 0; -53.8688; [0, 10, -10, -10, -10, 0, 10, 0, 0, 10, -10, 0, -10, 0, 0, -10, 0, 0, 10, 10, -10, ]; -81.8561; [-10, 10, -10, 0, 10, 0, 10, -10, 0, -10, 10, 10, 10, 10, -10, 10, -10, -10, 0, 10, 10, ]; -30243.7; [10, 0, 0, -10, 0, -10, 0, -10, 10, -10, 10, 0, 0, 0, -10, -10, -10, 0, -10, -10, 0, ];
0; 0; 0.9; -7869.19; 75112.4; 1; -54.0459; [0, -10, 0, 0, -10, 0, 10, 10, 10, 10, 0, 0, 0, 0, -10, 0, -10, 0, 0, 10, 0, ]; -73.8376; [0, 0, -10, -10, 10, 10, -10, 10, 0, -10, 0, -10, 0, 10, 10, 10, -10, 0, -10, 10, 10, ]; -755173; [-10, -10, 10, -10, -10, 0, 0, -10, -10, -10, -10, -10, 10, -10, 0, 10, 0, -10, 10, -10, -10, ];
0; 0; 0.9; -531.127; 3030.25; 2; -54.0459; [0, -10, 0, 0, -10, 0, 10, 10, 10, 10, 0, 0, 0, 0, -10, 0, -10, 0, 0, 10, 0, ]; -77.1504; [10, 0, 0, 0, -10, 0, 0, 10, 10, -10, -10, 0, -10, -10, 10, -10, 0, 0, 10, 0, 10, ]; -30240.8; [10, -10, 10, 0, -10, -10, 0, 0, 0, -10, 10, 0, -10, 0, 0, -10, -10, 0, 10, -10, 10, ];
0; 0; 0.9; -588.528; 3126.29; 3; -54.0459; [0, -10, 0, 0, -10, 0, 10, 10, 10, 10, 0, 0, 0, 0, -10, 0, -10, 0, 0, 10, 0, ]; -75.6281; [-10, 10, 0, 0, -10, 0, -10, 10, 0, 10, 0, 0, 0, 10, -10, 10, 0, 10, -10, -10, -10, ]; -30240.8; [10, -10, 10, 0, -10, -10, 0, 0, 0, -10, 10, 0, -10, 0, 0, -10, -10, 0, 10, -10, 10, ];
0; 0; 0.9; -214.527; 682.887; 4; -54.0459; [0, -10, 0, 0, -10, 0, 10, 10, 10, 10, 0, 0, 0, 0, -10, 0, -10, 0, 0, 10, 0, ]; -73.5568; [10, 0, 0, 0, -10, 0, 0, 10, -10, 10, 0, 0, -10, 0, 0, 10, 10, -0, -10, -10, 10, ]; -6146.14; [10, 0, -10, -10, 0, 0, 0, 10, -10, 0, -10, 10, -10, 0, -10, -10, -10, 10, -10, -10, -10, ];
0; 0; 0.9; -741.745; 4201.44; 5; -59.3432; [-10, 10, 0, 0, -10, 0, 0, 0, 0, -10, 10, 0, 0, -10, -10, 0, 10, 10, -10, 0, -10, ]; -74.5957; [-10, 10, 0, 0, -10, 0, 0, -10, 0, 0, 0, 0, 0, 0, -10, 10, 0, 10, -10, -10, -10, ]; -41110.2; [-10, 10, -10, -10, -10, 0, 10, -10, -10, -10, -10, 10, 0, 10, -10, 0, -10, 10, -10, -10, -10, ];
0; 0; 0.9; -766.709; 3711.25; 6; -61.0174; [0, 0, 0, 0, -10, 10, -10, 10, 0, 0, -10, -10, 0, 10, -10, 10, 0, 10, 0, -10, -10, ]; -75.06; [-10, 0, 10, -10, -10, 10, 0, -10, 10, 0, 0, 10, 10, 10, 0, 0, 0, -10, 10, 0, -10, ]; -35331.7; [-10, 0, 10, 10, 0, 10, -10, -10, -10, -10, 0, 10, -10, 10, 0, 10, 0, -10, 0, -10, -10, ];
0; 0; 0.9; -2074; 17774.6; 7; -56.5705; [10, 0, 0, 0, -10, -10, 0, 0, 0, 0, 0, -10, 0, -10, 0, 10, 10, -10, 10, 10, -10, ]; -73.5264; [-10, 0, 0, -10, -10, 10, -10, -10, 10, 0, 0, 10, 0, 10, -10, 0, 0, 0, -10, -10, -10, ]; -178634; [-10, 0, 0, -10, -10, -10, 0, -10, -10, 0, 0, -10, -10, -10, 0, 0, -10, -10, 0, -10, -10, ];
0; 0; 0.9; -2274.82; 17981.5; 8; -56.5705; [10, 0, 0, 0, -10, -10, 0, 0, 0, 0, 0, -10, 0, -10, 0, 10, 10, -10, 10, 10, -10, ]; -74.8973; [-10, 10, 0, 0, -10, 0, -10, 10, 0, 0, 0, 10, -10, 0, -10, 10, 0, 0, 0, 0, 10, ]; -178634; [-10, 0, 0, -10, -10, -10, 0, -10, -10, 0, 0, -10, -10, -10, 0, 0, -10, -10, 0, -10, -10, ];
0; 0; 0.9; -192.952; 410.658; 9; -56.5705; [10, 0, 0, 0, -10, -10, 0, 0, 0, 0, 0, -10, 0, -10, 0, 10, 10, -10, 10, 10, -10, ]; -74.1925; [-10, 0, -10, 0, -10, 10, 0, 0, 0, 0, 0, -10, 10, 10, -10, 10, 10, -10, 0, 10, -10, ]; -3442.42; [10, 10, -10, 0, -10, 0, -10, -10, 0, 10, 10, -10, -10, 10, -10, 10, 0, 10, -10, 10, -10, ];
