mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
0; 0; 0.9; -594.97; 1624.61; 0; -60.7295; [-10, 10, -10, 10, -10, 10, 10, 10, 0, 0, 10, -10, -10, 10, -10, 0, 10, -10, -10, 0, 10, ]; -86.7727; [0, -10, 10, 0, -10, 0, 0, 0, 10, 10, -10, 10, -10, -10, 0, 0, 10, 10, 0, 0, -10, ]; -12502.8; [10, 10, 10, 0, 10, 10, 0, 0, 0, 0, 10, 10, -10, -10, 0, 10, 10, 10, 0, 0, 10, ];
0; 0; 0.9; -815.476; 3695.74; 1; -60.7295; [-10, 10, -10, 10, -10, 10, 10, 10, 0, 0, 10, -10, -10, 10, -10, 0, 10, -10, -10, 0, 10, ]; -79.0277; [-10, 10, 0, -10, -10, 10, -10, 10, -10, 0, 10, 10, 0, -10, 10, 10, 10, 10, 0, 10, -10, ]; -30243.3; [0, -10, 0, 0, 10, 0, -10, 0, -10, 0, 0, -10, -10, -10, 0, -10, -10, 0, -10, 10, -10, ];
0; 0; 0.9; -244.019; 431.109; 2; -58.7776; [-10, 10, -10, 0, -10, 0, 0, 10, -10, 0, 0, -10, 0, 10, 0, 10, 0, 0, 0, 0, 10, ]; -80.1489; [0, 0, -10, -10, 0, 10, 10, 10, 10, 10, 0, 10, 0, -10, -10, 10, 0, 0, 0, -10, 10, ]; -3120.52; [10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 0, 0, 0, -10, 0, -10, 10, -10, 0, -10, ];
0; 0; 0.9; -394.076; 1438.35; 3; -55.0126; [-10, 0, 0, 0, -10, 0, 10, 0, 10, 10, -10, 0, 0, -10, 10, 10, -10, 0, 0, -10, 10, ]; -78.6346; [-10, 0, 10, 10, 0, 10, -10, -10, 10, 10, 10, 10, 0, -10, 0, 10, -10, 10, 10, -10, -10, ]; -12985.8; [0, 0, -10, 10, 0, 10, -10, 10, 0, 10, 0, 10, 10, 10, 10, 10, 0, 0, 0, 10, 0, ];
0; 0; 0.9; -652.821; 4100.85; 4; -41.0591; [-10, 0, 10, 0, -10, 10, 0, -10, -10, 0, 0, 10, 0, 10, -10, 10, 10, 10, -10, -10, -10, ]; -75.1505; [-10, 0, 0, 0, 10, 0, 0, -10, 0, 0, 10, -10, -10, 10, -10, 10, 10, 0, -10, -10, -10, ]; -41113.9; [0, 10, 0, -10, 0, 0, -10, 0, 10, -10, 0, 0, -10, -10, -10, 10, -10, 0, 0, 10, 10, ];
0; 0; 0.9; -216.177; 646.793; 5; -55.0126; [-10, 0, 0, 0, -10, 0, 10, 0, 10, 10, -10, 0, 0, -10, 10, 10, -10, 0, 0, -10, 10, ]; -72.9522; [0, 0, -0, 0, 0, 0, -10, 0, -10, 10, 10, -10, -10, -10, 10, 10, -10, 0, -10, 10, 10, ]; -6144.03; [-10, -10, 0, 10, 10, -10, 0, 0, -10, 10, -10, -10, -10, 10, -10, 10, -10, 0, 0, -10, -10, ];
0; 0; 0.9; -320.928; 1230.08; 6; -52.3168; [-10, 0, 0, 10, 10, -10, 0, 0, -10, 10, -10, 10, -10, 10, -10, 10, 0, -10, 0, 0, -10, ]; -72.9977; [-10, 10, 0, 0, -10, 10, 0, 10, -10, 10, -10, -10, -10, 10, 0, 10, 0, 10, -10, -10, -10, ]; -8811.29; [0, 10, -10, 0, 10, -10, 0, -10, -10, 0, 0, -10, -10, 10, -10, -10, 0, 0, -10, -10, 10, ];
0; 0; 0.9; -612.82; 4101.84; 7; -52.3168; [-10, 0, 0, 10, 10, -10, 0, 0, -10, 10, -10, 10, -10, 10, -10, 10, 0, -10, 0, 0, -10, ]; -74.4102; [-10, 0, 0, 10, -10, 0, -10, 0, -10, -10, 10, -10, 0, 0, 10, 10, -10, 0, -10, -10, 10, ]; -41110.3; [-10, 10, 0, -10, -10, 10, -10, -10, -10, -10, -10, -10, -10, 10, 0, 0, -10, 0, 0, 10, -10, ];
0; 0; 0.9; -5600.18; 52585.2; 8; -57.9195; [10, 10, 0, 10, 10, 10, -10, 0, -10, -10, -10, -10, -10, 10, 0, 0, 0, -10, 0, 0, -10, ]; -75.5646; [-10, 0, 10, 0, -10, 10, -0, 10, -10, 10, 0, 10, -10, 10, -10, 10, -10, 10, 0, 10, -10, ]; -528767; [-10, -10, -10, 10, 10, 10, 0, 10, 0, 10, -10, -10, -10, 10, -10, 10, -10, 0, 0, -10, 10, ];
0; 0; 0.9; -5974.25; 52707.8; 9; -56.9217; [-10, 10, -10, 0, 0, 10, -0, 10, -10, 10, 0, -10, 0, -10, 10, 10, 10, 10, 0, 10, -10, ]; -74.229; [-10, 0, 10, 10, 10, 10, -10, 10, -10, 0, 10, 10, -10, 10, -10, 0, -10, -10, -10, 0, 10, ]; -528767; [-10, -10, -10, 10, 10, 10, 0, 10, 0, 10, -10, -10, -10, 10, -10, 10, -10, 0, 0, -10, 10, ];
