mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
0; 0; 0.9; -1470.42; 8260.49; 0; -58.7899; [-10, 10, -10, 0, -10, 0, 10, 10, 0, -10, 10, 0, -10, -10, 0, 0, 0, 0, -10, 0, 0, ]; -79.1514; [0, 0, 0, -10, -10, 10, -10, 10, -10, 10, -10, -10, -10, -10, -10, -10, -10, 0, 10, 0, -10, ]; -77285.3; [0, -10, -10, 0, 0, -10, 0, 0, -10, -10, -10, -10, -10, -10, 10, -10, 0, -10, -10, -10, -10, ];
0; 0; 0.9; -527.116; 1610.95; 1; -58.5598; [-10, 0, -10, -10, 0, -10, 0, 10, -10, 10, 0, 10, 10, -10, -10, -10, 10, 0, 10, 10, -10, ]; -77.8632; [10, -10, 0, 0, 10, 10, -10, 0, -10, 10, 10, 0, 10, 0, -10, -10, -10, 10, -10, 10, -10, ]; -9022.46; [0, 10, 0, 10, 0, 10, 10, -10, 0, 10, 0, 0, 0, 10, 0, 0, 0, 0, 10, 0, -10, ];
0; 0; 0.9; -414.402; 1383.57; 2; -58.7899; [-10, 10, -10, 0, -10, 0, 10, 10, 0, -10, 10, 0, -10, -10, 0, 0, 0, 0, -10, 0, 0, ]; -75.8526; [10, -10, 0, 10, -10, 10, -10, 10, -10, 10, -10, 10, 10, 0, -10, 0, 10, -10, 0, 0, 0, ]; -9022.46; [0, 10, 0, 10, 0, 10, 10, -10, 0, 10, 0, 0, 0, 10, 0, 0, 0, 0, 10, 0, -10, ];
0; 0; 0.9; -6440.11; 59360.1; 3; -58.7899; [-10, 10, -10, 0, -10, 0, 10, 10, 0, -10, 10, 0, -10, -10, 0, 0, 0, 0, -10, 0, 0, ]; -76.899; [-10, 10, -10, -10, 0, -10, -10, 0, 0, 10, -10, -10, 10, 10, 0, 0, 10, 10, 10, -10, 0, ]; -596877; [-10, 10, -10, 10, -10, 10, -10, -10, -10, -10, 0, 0, 0, -10, -10, 0, -10, -10, 10, -10, 10, ];
0; 0; 0.9; -1008.39; 4473.01; 4; -45.8718; [0, 0, 0, 0, 0, -10, 10, -10, 0, 10, -10, 0, 0, -10, 0, 0, 0, 10, 0, 0, -10, ]; -75.424; [0, 10, 10, -10, -10, 10, -10, -10, -10, -10, -10, 10, 0, 0, 0, 10, 10, -10, 0, 10, 10, ]; -35329.2; [10, 0, -10, -10, 10, -10, -10, 0, -10, -10, 0, 10, 0, 10, 0, -10, 0, 10, -10, -10, -10, ];
0; 0; 0.9; -982.835; 4167.13; 5; -45.8718; [0, 0, 0, 0, 0, -10, 10, -10, 0, 10, -10, 0, 0, -10, 0, 0, 0, 10, 0, 0, -10, ]; -75.7556; [0, 10, 10, -10, -10, 10, -10, -10, -10, -10, -10, 10, 10, 0, 0, 10, 10, -10, 0, 10, 10, ]; -30243.9; [0, -10, -10, -10, 10, 0, -10, 0, 10, -10, -10, 0, 0, -10, -10, 0, -10, 10, 0, -10, -10, ];
0; 0; 0.9; -360.624; 1234.76; 6; -50.7043; [10, 10, 0, 10, -10, 0, -10, 10, 10, -10, -10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 0, ]; -74.8123; [10, 10, 0, 10, 0, -10, 10, -10, 0, 10, -10, 0, 10, 0, 0, 0, -10, 0, 10, 0, -10, ]; -9022.46; [0, 10, 0, 10, 0, 10, 10, -10, 0, 10, 0, 0, 0, 10, 0, 0, 0, 0, 10, 0, -10, ];
0; 0; 0.9; -585.865; 2249.85; 7; -50.7043; [10, 10, 0, 10, -10, 0, -10, 10, 10, -10, -10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 0, ]; -72.9531; [0, -10, -10, 10, 0, -10, -10, -10, 10, 10, -10, 10, 10, -10, 0, 0, 0, 0, 10, -10, -10, ]; -18451.5; [10, -10, 0, 10, 0, 0, -10, 0, 0, 10, 0, 10, 10, 0, 0, 10, 0, 10, 10, 0, 0, ];
0; 0; 0.9; -329.691; 1168.39; 8; -50.7043; [10, 10, 0, 10, -10, 0, -10, 10, 10, -10, -10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 0, ]; -72.2804; [10, -10, -10, -10, 10, 10, 0, -10, 0, 10, -10, 10, 0, 0, 0, 10, 0, 10, 0, 10, -10, ]; -9022.46; [0, 10, 0, 10, 0, 10, 10, -10, 0, 10, 0, 0, 0, 10, 0, 0, 0, 0, 10, 0, -10, ];
0; 0; 0.9; -451.834; 1895.35; 9; -51.021; [-10, 10, -10, -10, 0, 0, -10, 10, 0, 10, 10, 0, 10, -10, 0, 10, 0, 0, -10, 0, 0, ]; -72.5583; [0, 10, 10, -10, 10, 10, 10, -10, 10, -10, -10, 10, 10, -10, -10, 10, 0, 10, 0, 0, 10, ]; -16476.3; [0, 10, 10, 10, 10, 0, 10, -10, 0, 10, 10, 0, -10, 10, 0, -10, 0, 10, 10, 10, 0, ];
