E(fitness); sigma(fitness); Generation; fitness1; Genes(Scores(0,1),:); fitness50; Genes(Scores(49,1),:); fitness100; Genes(Scores(99,1),:);
-286.999; 1560.67; 43; -42.0038; [2.67005, -1.55884, -12.1329, -10.7048, -17.06, -20.0438, 6.03201, -5.7627, 7.01135, 2.84119, -17.4384, 12.9678, -15.3171, -1.94341, -8.79818, 4.00374, 12.8742, -1.45736, -8.32292, -7.69947, 15.738, ]; -52.3147; -6.88702, -1.55884, -10.4399, -10.7048, -8.5997, -20.0438, 6.03201, -5.33259, 7.01135, -2.29767, -17.4384, 6.69466, -15.3171, -10.5726, -8.79818, -2.23121, -4.13536, -1.45736, 0.849833, -9.92329, 15.738, ]; -15533.6; -6.88702, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -7.61364, -5.33259, 10.5905, 2.84119, -11.3725, 6.69466, -15.3171, -10.5726, -16.8671, 4.00374, -4.13536, -1.45736, 0.849833, -9.92329, 1.18072, ];
-90.6881; 141.945; 44; -36.5542; [-6.88702, -1.55884, -10.4399, -10.7048, -8.5997, -10.4275, 4.61594, -5.7627, 10.5905, -2.29767, 6.79135, 12.9678, -15.3171, -10.5726, -8.79818, 4.21196, -4.13536, 12.3149, 0.849833, -9.92329, 15.738, ]; -52.1912; 5.74565, -13.5234, -10.4399, -10.7048, -17.06, -5.86837, -3.1875, -5.7627, -3.17822, -2.29767, -11.3725, 12.9678, -6.88778, 3.48322, -8.79818, 4.21196, 12.8742, 12.3149, -8.32292, -9.92329, 15.738, ]; -1073.91; 5.74565, -6.45475, -12.1329, -10.7048, -17.06, 0.788486, -7.61364, -5.7627, 10.5905, -2.29767, -11.3725, 6.69466, -15.3171, -1.94341, -8.79818, -2.23121, 9.40179, -1.7675, 0.849833, -9.92329, 15.738, ];
-199.182; 849.556; 45; -43.9302; [5.74565, -13.5234, -10.4399, -10.7048, -1.32281, 0.788486, -3.1875, -5.33259, -3.17822, 2.84119, 6.79135, 12.9678, -15.3171, 3.48322, -8.79818, 4.21196, -5.86875, 12.3149, -7.91617, -9.92329, 3.33532, ]; -52.2316; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, 0.788486, -3.1875, -5.7627, 10.5905, 2.84119, -11.3725, 12.9678, -15.3171, -4.28978, -16.8671, 4.00374, 11.5227, -1.4205, -8.32292, -9.92329, 15.738, ]; -6123.23; -6.88702, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, 6.03201, -5.7627, -5.21617, -2.29767, -11.3725, 6.69466, -6.88778, -1.94341, -8.79818, 4.00374, -4.13536, -1.7675, -7.91617, -9.92329, 3.33532, ];
-1368.54; 11859.3; 46; -43.6347; [-6.88702, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -7.61364, -5.33259, 7.01135, -2.29767, -2.95742, 6.69466, -6.88778, 3.48322, -16.8671, -2.23121, -5.86875, -1.45736, -7.91617, -9.92329, 15.738, ]; -52.7836; -6.88702, -1.55884, -12.1329, -10.7048, -1.32281, 0.788486, -7.61364, -5.33259, -3.17822, 2.84119, 6.79135, 12.9678, -15.3171, 3.48322, -8.79818, 4.21196, -5.86875, -1.45736, -7.91617, -9.92329, 3.33532, ]; -119200; -6.88702, -13.5234, -12.1329, -10.7048, -1.32281, 0.788486, -7.61364, -5.33259, -3.17822, -2.84119, 6.79135, 6.69466, -15.3171, 3.48322, -8.79818, -2.23121, -5.86875, -12.3149, -7.91617, -9.92329, 3.33532, ];
-161.179; 615.707; 47; -38.7461; [5.74565, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -7.61364, -5.7627, 7.01135, -2.29767, -2.95742, 6.69466, -6.88778, -1.94341, -16.8671, 4.21196, 12.8742, -1.45736, -7.91617, -9.92329, 15.738, ]; -52.2316; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, 0.788486, -3.1875, -5.7627, 10.5905, 2.84119, -11.3725, 12.9678, -15.3171, -4.28978, -16.8671, 4.00374, 11.5227, -1.4205, -8.32292, -9.92329, 15.738, ]; -6123.23; -6.88702, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, 6.03201, -5.7627, -5.21617, -2.29767, -11.3725, 6.69466, -6.88778, -1.94341, -8.79818, 4.00374, -4.13536, -1.7675, -7.91617, -9.92329, 3.33532, ];
-92.0446; 146.13; 48; -38.7461; [5.74565, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -7.61364, -5.7627, 7.01135, -2.29767, -2.95742, 6.69466, -6.88778, -1.94341, -16.8671, 4.21196, 12.8742, -1.45736, -7.91617, -9.92329, 15.738, ]; -53.4599; 5.74565, -13.5234, -12.1329, -10.7048, -1.32281, 0.788486, -7.61364, -5.33259, -3.17822, -2.29767, -11.3725, 12.9678, -6.88778, 3.48322, -8.79818, 4.21196, 12.8742, -1.7675, 0.849833, -9.92329, -9.14648, ]; -1285.72; -6.88702, -10.8699, 4.96637, -3.64384, -1.32281, -5.86837, -21.4047, -5.33259, 14.4351, 6.83262, -2.95742, 6.69466, -2.48924, -10.5726, -8.79818, 4.21196, -4.13536, -9.13571, -7.91617, 9.67249, 3.33532, ];
-119.657; 240.618; 49; -38.7461; [5.74565, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -7.61364, -5.7627, 7.01135, -2.29767, -2.95742, 6.69466, -6.88778, -1.94341, -16.8671, 4.21196, 12.8742, -1.45736, -7.91617, -9.92329, 15.738, ]; -55.1992; -6.88702, -1.55884, 4.04263, -10.7048, 0.99056, -10.4275, -7.61364, -21.5752, 7.01135, -2.29767, 6.79135, 6.69466, -10.3069, -10.5726, -8.79818, -2.23121, 9.40179, -12.3149, -7.91617, -7.69947, 15.738, ]; -1666.69; -6.88702, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -7.61364, -5.33259, 7.01135, -2.29767, -2.95742, 6.69466, -6.88778, 3.48322, -16.8671, -2.23121, -5.86875, -12.3149, -7.91617, -9.92329, 15.738, ];
-231.087; 967.191; 50; -38.7461; [5.74565, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -7.61364, -5.7627, 7.01135, -2.29767, -2.95742, 6.69466, -6.88778, -1.94341, -16.8671, 4.21196, 12.8742, -1.45736, -7.91617, -9.92329, 15.738, ]; -52.5638; -6.88702, -2.55347, -12.1329, -10.7048, -17.06, -5.86837, -3.61448, -5.33259, -5.21617, 2.19613, 6.79135, 6.69466, -6.88778, 3.48322, -16.8671, 4.21196, -5.86875, -1.45736, 0.849833, -9.67249, -9.14648, ]; -8790.97; -6.88702, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -7.61364, -5.33259, 7.01135, -2.29767, -11.3725, 6.69466, -15.3171, 3.48322, -8.79818, -2.23121, -5.86875, -12.3149, -7.91617, -7.69947, 15.738, ];
-128.083; 248.734; 51; -43.6347; [-6.88702, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -7.61364, -5.33259, 7.01135, -2.29767, -2.95742, 6.69466, -6.88778, 3.48322, -16.8671, -2.23121, -5.86875, -1.45736, -7.91617, -9.92329, 15.738, ]; -54.3108; -6.88702, -13.5234, -12.1329, -10.7048, -17.06, 0.788486, -7.61364, -21.5752, 7.01135, -2.29767, -2.95742, 12.9678, -6.88778, 3.48322, -16.8671, -2.23121, 9.40179, -1.45736, 0.849833, -9.92329, 1.18072, ]; -1668.96; -6.88702, -13.5234, -10.4399, -10.7048, -17.06, -5.86837, 4.61594, -21.5752, -5.21617, -2.29767, -2.95742, 6.69466, -6.88778, 3.48322, -16.8671, 4.21196, 9.40179, -1.7675, -8.32292, -9.67249, 3.33532, ];
-98.6385; 120.733; 52; -45.1741; [5.74565, -13.5234, -10.4399, -10.7048, -17.06, -5.86837, -7.61364, -5.33259, -5.21617, 2.19613, -11.3725, 12.9678, 2.48924, -1.94341, -8.79818, 4.00374, -5.86875, -1.45736, -8.32292, -9.92329, 6.27476, ]; -52.5091; -6.88702, -13.5234, -10.4399, -10.7048, -17.06, -5.86837, -7.61364, -5.7627, 10.5905, -2.29767, -11.3725, 6.69466, 2.48924, 3.48322, -8.79818, 4.00374, 9.40179, -1.7675, -8.32292, -9.67249, 3.33532, ]; -870.788; -6.88702, -1.55884, -12.1329, -10.7048, -17.06, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -10.5726, -8.79818, 4.00374, 9.40179, -1.45736, -7.91617, -9.92329, 3.33532, ];
