E(fitness); sigma(fitness); Generation; fitness1; Genes(Scores(0,1),:); fitness50; Genes(Scores(49,1),:); fitness100; Genes(Scores(99,1),:);
-389.198; 2587.96; 63; -40.8315; [5.74565, -6.45475, -11.6466, -11.7405, -8.5997, 0.788486, -3.1875, -17.5419, 7.01135, 2.84119, -11.3725, 12.9678, -6.88778, -4.28978, -16.8671, 4.21196, -5.86875, -1.4205, -8.32292, -9.92329, 15.738, ]; -51.0334; 5.74565, -6.45475, -10.4399, -11.7405, -8.5997, 0.788486, -3.1875, -17.5419, 3.40222, 2.84119, -11.3725, 12.9678, -6.88778, -4.28978, 2.81466, 4.21196, -5.86875, 3.64401, -8.32292, -9.92329, 6.27476, ]; -25760.1; -1.46703, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -3.1875, -5.33259, 10.5905, -12.7962, -11.3725, 6.69466, -15.3171, 3.48322, -16.8671, 4.21196, -5.86875, 3.64401, 5.04279, -9.92329, 6.27476, ];
-91.5808; 176.021; 64; -40.8315; [5.74565, -6.45475, -11.6466, -11.7405, -8.5997, 0.788486, -3.1875, -17.5419, 7.01135, 2.84119, -11.3725, 12.9678, -6.88778, -4.28978, -16.8671, 4.21196, -5.86875, -1.4205, -8.32292, -9.92329, 15.738, ]; -50.7452; -6.88702, -13.5234, -12.1329, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, 2.19613, -11.3725, 12.9678, -15.3171, -1.94341, -8.79818, -2.23121, 9.40179, 12.3149, -8.32292, -9.92329, 15.738, ]; -1668.18; 7.68313, -13.5234, -11.6466, -10.7048, -8.5997, -5.86837, -7.61364, -5.7627, 10.5905, 2.84119, -11.3725, 6.69466, -10.3069, -4.28978, -8.79818, 4.00374, -5.86875, -1.4205, -8.32292, -9.92329, 15.738, ];
-2160.4; 17869.7; 65; -42.1041; [7.72089, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, 4.61594, 3.56405, 3.40222, 2.84119, -11.3725, 12.9678, -6.88778, -4.28978, -16.8671, 4.00374, -5.86875, -1.4205, 5.04279, -9.92329, 1.18072, ]; -51.3593; -6.88702, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.7627, 7.01135, -12.7962, -17.4384, 12.9678, -6.88778, 3.48322, -16.8671, 4.00374, -3.11024, -12.3149, 5.04279, -2.50152, 15.738, ]; -178618; 5.74565, -1.55884, 4.04263, -10.7048, -8.5997, -5.86837, -3.61448, 3.56405, 3.40222, 2.84119, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, -7.21686, -5.86875, -1.4205, 0.849833, -7.69947, 6.27476, ];
-153.221; 546.836; 66; -44.9879; [-6.88702, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.7627, 10.5905, -2.29767, -11.3725, 12.9678, 2.48924, 3.48322, -16.8671, 4.00374, 12.8742, -1.4205, 5.04279, -9.92329, 15.738, ]; -51.0275; -6.88702, -13.5234, -10.4399, -10.7048, -17.06, -5.86837, -7.61364, -5.33259, 3.40222, -2.29767, -11.3725, 12.9678, 6.99115, -4.28978, -8.79818, 4.00374, 9.40179, 3.64401, -8.32292, -9.92329, 15.738, ]; -5071.61; -2.67005, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.7627, 7.01135, -12.7962, 6.79135, 12.9678, -6.88778, -4.28978, -16.8671, -7.21686, 9.40179, -12.3149, 5.04279, -9.67249, 15.738, ];
-201.667; 891.363; 67; -41.1109; [-6.88702, -13.5234, -11.6466, -10.7048, -8.5997, -5.86837, -7.61364, -17.5419, 10.5905, 2.19613, -11.3725, 12.9678, 2.48924, -4.28978, -16.8671, 4.21196, -5.86875, -1.7675, -8.32292, -9.92329, 1.18072, ]; -50.7452; -6.88702, -13.5234, -12.1329, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, 2.19613, -11.3725, 12.9678, -15.3171, -1.94341, -8.79818, -2.23121, 9.40179, 12.3149, -8.32292, -9.92329, 15.738, ]; -8789.09; 2.67005, -1.55884, -10.4399, -11.7405, -8.5997, 0.788486, -7.61364, -5.33259, 7.01135, -12.7962, 6.79135, 6.69466, -6.88778, -10.5726, -8.79818, 4.00374, 12.8742, -12.3149, 0.849833, -7.69947, 6.27476, ];
-602.66; 4165.72; 68; -45.0083; [5.74565, -13.5234, -10.4399, -11.7405, -17.06, 0.788486, -7.61364, -5.7627, 10.5905, 2.84119, -11.3725, 12.9678, 6.99115, 3.48322, -8.79818, 4.00374, -5.86875, 3.64401, 5.04279, -9.92329, 6.27476, ]; -52.4534; -6.88702, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, 3.56405, 10.5905, 2.19613, -11.3725, 12.9678, 6.99115, -4.28978, -8.79818, 4.00374, 12.8742, -1.4205, -8.32292, -9.92329, 15.738, ]; -41092.7; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, 4.61594, 3.56405, -5.21617, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.00374, -4.13536, -12.3149, 5.04279, -9.92329, -1.69293, ];
-95.3651; 138.032; 69; -45.0083; [5.74565, -13.5234, -10.4399, -11.7405, -17.06, 0.788486, -7.61364, -5.7627, 10.5905, 2.84119, -11.3725, 12.9678, 6.99115, 3.48322, -8.79818, 4.00374, -5.86875, 3.64401, 5.04279, -9.92329, 6.27476, ]; -52.2316; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, 0.788486, -3.1875, -5.7627, 10.5905, 2.84119, -11.3725, 12.9678, -15.3171, -4.28978, -16.8671, 4.00374, 11.5227, -1.4205, -8.32292, -9.92329, 15.738, ]; -1088.38; -6.88702, -13.5234, -10.4399, -10.7048, -8.5997, 0.788486, -3.1875, -17.5419, 10.5905, 2.84119, -11.3725, 12.9678, -15.3171, -4.28978, -16.8671, 4.00374, 11.5227, -1.4205, -8.32292, -9.92329, 15.738, ];
-188.356; 886.005; 70; -45.8625; [5.74565, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, 2.19613, -11.3725, 12.9678, 2.48924, -4.28978, -8.79818, 4.21196, -5.86875, -12.3149, -8.32292, -9.92329, 15.738, ]; -51.7967; 2.67005, -1.55884, -10.4399, -10.7048, 0.99056, -5.86837, 4.61594, -5.7627, 7.01135, -2.29767, 6.79135, 12.9678, -6.88778, -10.5726, -8.79818, 4.00374, 9.40179, -12.3149, 0.849833, -7.69947, -1.69293, ]; -8790.5; 5.74565, -6.45475, -10.4399, -10.0272, -17.06, 0.788486, 4.61594, 3.56405, -5.21617, -12.7962, -17.4384, 12.9678, -6.88778, -4.28978, -8.79818, 4.00374, 11.5227, -12.3149, -8.32292, -9.92329, 15.738, ];
-186.106; 885.476; 71; -45.8625; [5.74565, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, 2.19613, -11.3725, 12.9678, 2.48924, -4.28978, -8.79818, 4.21196, -5.86875, -12.3149, -8.32292, -9.92329, 15.738, ]; -52.3892; 5.74565, -13.5234, -11.6466, -10.7048, -17.06, -5.86837, -7.61364, -5.7627, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.21196, -4.13536, -12.3149, 5.04279, -9.92329, 15.738, ]; -8788.66; 7.72089, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, 3.48322, -16.8671, 4.00374, -5.86875, -12.3149, -8.32292, -9.92329, 15.738, ];
-86.3055; 117.795; 72; -40.7819; [5.74565, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, -3.1875, -5.7627, -5.21617, 2.19613, -11.3725, 12.9678, -6.88778, -4.28978, -16.8671, 4.00374, -5.86875, -1.4205, -8.32292, -9.92329, 15.738, ]; -50.7452; -6.88702, -13.5234, -12.1329, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, 2.19613, -11.3725, 12.9678, -15.3171, -1.94341, -8.79818, -2.23121, 9.40179, 12.3149, -8.32292, -9.92329, 15.738, ]; -857.695; 2.67005, -1.55884, -12.1329, -10.7048, -17.06, -5.86837, 4.61594, -5.33259, 10.5905, 2.19613, 6.79135, 12.9678, 6.99115, -1.94341, -8.79818, -2.23121, 9.40179, 12.3149, 0.849833, -9.92329, 15.738, ];
-737.749; 4322.74; 73; -44.2317; [2.67005, -1.55884, -10.4399, -10.7048, -17.06, -5.86837, -7.61364, -5.7627, -5.21617, -2.29767, 6.79135, 12.9678, 6.99115, -10.5726, -8.79818, 4.21196, 9.40179, -1.7675, 0.849833, -7.69947, 3.33532, ]; -51.0543; 7.72089, -13.5234, -10.4399, -10.7048, -8.5997, 0.788486, -3.1875, 3.56405, 10.5905, -12.7962, -11.3725, 6.69466, -6.88778, -4.28978, -8.79818, 4.00374, 11.5227, -1.4205, 5.04279, -9.92329, 15.738, ]; -35313.3; 5.74565, -13.5234, -10.4399, -10.7048, -8.5997, 0.788486, -3.1875, -5.33259, 10.5905, 2.19613, -11.3725, 6.69466, -6.88778, -4.28978, -16.8671, 4.00374, 12.8742, -12.3149, 5.04279, -9.92329, -1.69293, ];
-154.706; 626.501; 74; -41.8431; [7.72089, -6.45475, 4.04263, -10.7048, 0.99056, 0.788486, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 6.69466, -10.3069, 3.48322, -8.79818, 4.21196, -3.11024, -12.3149, -8.32292, -9.92329, 1.18072, ]; -51.7604; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, -7.38427, 6.99115, -4.28978, -16.8671, 4.00374, 12.8742, -12.3149, 5.04279, -9.92329, -1.69293, ]; -6128.2; 7.72089, -6.45475, -10.4399, -10.0272, -8.5997, -5.86837, -3.61448, 3.56405, 10.5905, 2.84119, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.00374, -5.86875, -12.3149, 5.04279, -9.92329, 1.18072, ];
-488.552; 4081.63; 75; -41.8431; [7.72089, -6.45475, 4.04263, -10.7048, 0.99056, 0.788486, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 6.69466, -10.3069, 3.48322, -8.79818, 4.21196, -3.11024, -12.3149, -8.32292, -9.92329, 1.18072, ]; -51.0679; 7.72089, -6.45475, -10.4399, -10.7048, -8.5997, -0.788486, -7.61364, 3.56405, 10.5905, -2.29767, -17.4384, 12.9678, 2.48924, -4.28978, -16.8671, 4.21196, -3.11024, -1.4205, -8.32292, -9.92329, 3.33532, ]; -41092.4; 7.72089, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, -3.1875, -17.5419, 10.5905, -2.29767, -17.4384, 12.9678, -6.88778, -4.28978, -16.8671, 4.00374, -5.86875, -1.4205, -8.32292, -9.92329, 15.738, ];
-163.328; 739.785; 76; -41.6378; [7.72089, -6.45475, -10.4399, -10.7048, -8.5997, 0.788486, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 6.69466, -10.3069, 3.48322, -16.8671, 4.21196, -3.11024, -1.4205, -8.32292, -9.92329, 6.27476, ]; -50.7452; -6.88702, -13.5234, -12.1329, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, 2.19613, -11.3725, 12.9678, -15.3171, -1.94341, -8.79818, -2.23121, 9.40179, 12.3149, -8.32292, -9.92329, 15.738, ]; -7357.51; 7.72089, -6.45475, -12.1329, -10.7048, 0.99056, -5.86837, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, -15.3171, -1.94341, -8.79818, 4.00374, -3.11024, -12.3149, -8.32292, -9.92329, 15.738, ];
-807.004; 5040.55; 77; -41.6378; [7.72089, -6.45475, -10.4399, -10.7048, -8.5997, 0.788486, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 6.69466, -10.3069, 3.48322, -16.8671, 4.21196, -3.11024, -1.4205, -8.32292, -9.92329, 6.27476, ]; -53.2078; -6.88702, -13.5234, -12.1329, -10.7048, -17.06, -5.86837, -7.61364, -5.33259, 10.5905, 2.19613, -11.3725, 12.9678, -6.88778, 3.48322, -8.79818, 4.00374, 9.40179, 12.3149, 0.849833, -9.92329, 15.738, ]; -41092; 5.74565, -6.45475, -12.1329, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, 6.99115, -1.94341, -8.79818, 4.21196, -4.13536, -12.3149, 5.04279, -9.92329, -1.69293, ];
-183.078; 745.057; 78; -41.1665; [-6.88702, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -3.61448, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, 2.48924, -4.28978, -8.79818, 4.00374, -4.13536, 1.4205, 0.849833, -9.92329, 3.33532, ]; -51.6396; -6.88702, -6.45475, 4.04263, -10.7048, -17.06, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 6.69466, 2.48924, -4.28978, -8.79818, 4.21196, -3.11024, -1.4205, 5.04279, -9.92329, 1.18072, ]; -7356.52; -6.88702, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.00374, -4.13536, -1.7675, -8.32292, -9.92329, -1.69293, ];
-80.044; 117.594; 79; -41.6378; [7.72089, -6.45475, -10.4399, -10.7048, -8.5997, 0.788486, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 6.69466, -10.3069, 3.48322, -16.8671, 4.21196, -3.11024, -1.4205, -8.32292, -9.92329, 6.27476, ]; -51.551; -6.88702, -1.55884, -12.1329, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, -15.3171, -1.94341, -8.79818, -2.23121, 9.40179, 12.3149, -8.32292, -9.92329, 15.738, ]; -1085.72; -6.88702, -13.5234, 4.04263, -10.7048, -8.5997, -5.86837, -3.1875, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, 2.48924, -4.28978, -8.79818, 4.21196, -4.13536, -12.3149, 0.849833, -9.92329, 3.33532, ];
-143.089; 529.198; 80; -44.7078; [5.74565, -1.55884, 4.04263, -10.7048, -8.5997, -5.86837, -7.61364, -17.5419, 10.5905, -2.29767, -11.3725, 12.9678, -10.3069, -1.94341, -16.8671, 4.00374, -4.13536, -12.3149, 0.849833, -9.92329, -1.69293, ]; -50.806; 5.74565, -1.55884, -10.4399, -10.7048, -8.5997, -5.86837, -3.1875, 3.56405, 10.5905, -2.29767, -11.3725, 6.69466, -10.3069, 3.48322, -8.79818, 4.21196, -4.13536, -1.4205, 5.04279, -9.92329, 6.27476, ]; -5070.78; 5.74565, -1.55884, -10.4399, -10.7048, -8.5997, -5.86837, -3.1875, -5.33259, 10.5905, -2.29767, -11.3725, 6.69466, -10.3069, -4.28978, -16.8671, 4.00374, -3.11024, -12.3149, 0.849833, -9.92329, 1.18072, ];
-122.364; 422.911; 81; -44.694; [5.74565, -6.45475, -10.4399, -10.7048, -8.5997, 0.788486, -7.61364, 3.56405, 10.5905, -2.29767, -17.4384, 12.9678, -10.3069, -4.28978, -16.8671, 4.00374, 9.40179, -12.3149, 0.849833, -9.67249, 3.33532, ]; -52.5037; 5.74565, -13.5234, -10.4399, -10.7048, -8.5997, 0.788486, -3.1875, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, 2.48924, -4.28978, -8.79818, 4.21196, 9.40179, 12.3149, -8.32292, -9.92329, 1.18072, ]; -4172.14; -6.88702, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, -15.3171, -1.94341, -8.79818, -2.23121, -5.86875, -12.3149, -8.32292, -9.92329, 15.738, ];
-106.264; 211.415; 82; -45.4873; [-6.88702, 13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, 2.19613, -11.3725, 6.69466, 2.48924, -4.28978, -8.79818, 4.21196, -5.86875, -12.3149, -8.32292, -9.92329, 15.738, ]; -51.3842; -6.88702, -13.5234, -10.4399, -10.7048, 0.99056, -5.86837, -3.1875, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, -10.3069, 3.48322, -8.79818, 4.21196, 9.40179, -1.4205, -8.32292, -9.92329, 15.738, ]; -1668.19; -6.88702, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -3.1875, -5.7627, 10.5905, -2.29767, -11.3725, 6.69466, -10.3069, -4.28978, -8.79818, 4.00374, -4.13536, -1.7675, -8.32292, -9.92329, 6.27476, ];
-481.766; 4082.05; 83; -46.2046; [5.74565, -13.5234, -12.1329, -10.7048, -17.06, 0.788486, -7.61364, -5.7627, 10.5905, -2.29767, -17.4384, 12.9678, -6.88778, -4.28978, -16.8671, 4.00374, -5.86875, -1.7675, 5.04279, -9.92329, -1.69293, ]; -51.4654; -6.88702, -13.5234, 4.04263, -10.7048, -8.5997, -5.86837, -3.1875, 3.56405, 10.5905, -2.29767, -11.3725, 6.69466, -10.3069, -4.28978, -8.79818, 4.21196, 9.40179, -1.4205, -8.32292, -9.92329, 15.738, ]; -41093.7; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, 0.788486, -7.61364, -5.7627, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -16.8671, 4.00374, -4.13536, -12.3149, 0.849833, -9.92329, -1.69293, ];
-178.237; 739.274; 84; -44.758; [-6.88702, -13.5234, -10.4399, -10.7048, -17.06, -5.86837, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.00374, -4.13536, 12.3149, 0.849833, -9.92329, 15.738, ]; -51.7131; 5.74565, -13.5234, 4.04263, -10.7048, -8.5997, -5.86837, -3.1875, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.21196, -5.86875, -1.4205, 5.04279, -9.92329, 15.738, ]; -7359.09; 5.74565, -6.45475, 4.04263, -10.7048, -8.5997, 0.788486, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -1.94341, -8.79818, 9.34425, -5.86875, -1.7675, 0.849833, -9.92329, -1.69293, ];
-196.076; 928.959; 85; -44.758; [-6.88702, -13.5234, -10.4399, -10.7048, -17.06, -5.86837, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.00374, -4.13536, 12.3149, 0.849833, -9.92329, 15.738, ]; -51.6334; -6.88702, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -3.1875, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, 6.99115, -4.28978, -8.79818, 4.21196, -4.13536, -12.3149, -8.32292, -9.67249, 3.33532, ]; -8790.88; 5.74565, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.7627, 10.5905, -2.29767, -11.3725, 6.69466, -10.3069, -4.28978, -8.79818, 4.21196, -5.86875, -1.7675, 5.04279, -9.67249, 1.18072, ];
-79.9902; 159.565; 86; -42.8216; [-6.88702, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, 6.99115, 3.48322, -8.79818, 4.21196, -4.13536, 12.3149, 0.849833, -9.92329, 15.738, ]; -50.7179; 2.67005, -1.55884, -12.1329, -10.7048, -8.5997, 0.788486, -7.61364, 3.56405, 10.5905, 2.19613, -11.3725, 12.9678, 6.99115, -1.94341, -8.79818, -2.23121, -5.86875, -12.3149, 5.04279, -7.69947, 6.27476, ]; -1610.76; 5.74565, -13.5234, 4.04263, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, 6.99115, 3.48322, -8.79818, 4.21196, 9.40179, -1.4205, 5.04279, -9.92329, 15.738, ];
-80.092; 81.4982; 87; -42.8216; [-6.88702, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, 6.99115, 3.48322, -8.79818, 4.21196, -4.13536, 12.3149, 0.849833, -9.92329, 15.738, ]; -51.6374; -6.88702, -13.5234, -11.6466, -10.0272, 0.99056, 0.788486, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, 6.99115, 3.48322, -8.79818, 4.21196, -4.13536, -1.4205, 0.849833, -9.92329, 6.27476, ]; -607.582; -6.88702, -6.45475, 4.04263, -10.7048, -8.5997, -5.86837, -3.1875, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, 2.48924, -4.28978, -8.79818, 9.34425, 9.40179, -1.7675, 0.849833, -9.92329, -1.69293, ];
-69.2596; 62.7516; 88; -39.3478; [5.74565, -13.5234, -11.6466, -10.7048, -17.06, 0.788486, -7.61364, -5.33259, 10.5905, -2.29767, -17.4384, 12.9678, -6.88778, -4.28978, -16.8671, 4.00374, -5.86875, -1.4205, 5.04279, -9.92329, -1.69293, ]; -50.7733; -6.88702, -13.5234, -11.6466, -10.7048, 0.99056, -5.86837, -3.61448, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, -10.3069, 3.48322, -8.79818, 4.21196, -5.86875, -1.4205, -8.32292, -9.92329, 15.738, ]; -542.197; -6.88702, -13.5234, 4.04263, -10.7048, -8.5997, -5.86837, -3.1875, 5.7627, 10.5905, -2.29767, -11.3725, 12.9678, 2.48924, -4.28978, -16.8671, 9.34425, 9.40179, -1.4205, -8.32292, -9.92329, 3.33532, ];
-84.0239; 170.189; 89; -42.8216; [-6.88702, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, 6.99115, 3.48322, -8.79818, 4.21196, -4.13536, 12.3149, 0.849833, -9.92329, 15.738, ]; -52.0967; -6.88702, -13.5234, 4.04263, -10.7048, -17.06, -5.86837, -3.61448, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, -10.3069, -4.28978, -8.79818, 4.21196, 9.40179, -1.4205, 0.849833, -9.92329, 3.33532, ]; -1667.99; 5.74565, -13.5234, -11.6466, -10.0272, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, 6.99115, 3.48322, -8.79818, 4.21196, -4.13536, -12.3149, 0.849833, -9.92329, 15.738, ];
-81.1589; 118.146; 90; -45.9108; [5.74565, -13.5234, -12.1329, -10.7048, -17.06, 0.788486, -7.61364, -5.7627, 10.5905, -2.29767, -17.4384, 12.9678, -6.88778, -4.28978, -16.8671, 4.00374, -5.86875, -1.7675, 5.04279, -9.92329, -1.69293, ]; -51.9961; 5.74565, -13.5234, -11.6466, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, 2.48924, -4.28978, -8.79818, 4.00374, -4.13536, -1.4205, 0.849833, -9.92329, 3.33532, ]; -1087.44; 5.74565, -6.45475, -11.6466, -10.7048, -17.06, 0.788486, -7.61364, -5.7627, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -16.8671, 4.00374, -4.13536, -1.7675, 5.04279, -9.92329, -1.69293, ];
-96.2887; 149.972; 91; -44.6002; [5.74565, -13.5234, -12.1329, -10.0272, -17.06, -5.86837, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.21196, -4.13536, 12.3149, 0.849833, -9.92329, -1.69293, ]; -52.3181; 5.74565, -13.5234, 4.04263, -10.0272, -17.06, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, 2.48924, -4.28978, 8.79818, 4.21196, -4.13536, -1.4205, 0.849833, -9.92329, 3.33532, ]; -1088.51; -6.88702, -13.5234, 4.04263, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, -10.3069, -4.28978, -8.79818, 4.21196, 9.40179, -1.4205, 0.849833, -9.92329, 3.33532, ];
-80.319; 143.307; 92; -44.6002; [5.74565, -13.5234, -12.1329, -10.0272, -17.06, -5.86837, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.21196, -4.13536, 12.3149, 0.849833, -9.92329, -1.69293, ]; -50.773; -6.88702, -13.5234, -12.1329, -10.7048, -17.06, -5.86837, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -16.8671, 4.00374, -5.86875, 12.3149, 0.849833, -9.92329, -1.69293, ]; -1350.58; -6.88702, -6.45475, -12.1329, -10.7048, -17.06, 0.788486, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, 6.99115, -4.28978, -8.79818, 4.21196, 9.40179, -12.3149, 0.849833, -9.92329, 3.33532, ];
-153.447; 870.225; 93; -44.6002; [5.74565, -13.5234, -12.1329, -10.0272, -17.06, -5.86837, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.21196, -4.13536, 12.3149, 0.849833, -9.92329, -1.69293, ]; -51.8376; -6.88702, -1.55884, -12.1329, -10.7048, -17.06, -5.86837, -7.61364, 3.56405, 10.5905, 19.1854, -17.4384, 12.9678, -6.88778, -10.5726, -8.79818, -7.21686, 9.40179, -1.4205, 5.04279, -9.92329, 1.18072, ]; -8791.65; 5.74565, -13.5234, -11.6466, -10.7048, -17.06, -5.86837, -7.61364, -17.5419, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.21196, -5.86875, 12.3149, 5.04279, -9.92329, -1.69293, ];
-79.4895; 168.396; 94; -44.6002; [5.74565, -13.5234, -12.1329, -10.0272, -17.06, -5.86837, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.21196, -4.13536, 12.3149, 0.849833, -9.92329, -1.69293, ]; -50.7179; 2.67005, -1.55884, -12.1329, -10.7048, -8.5997, 0.788486, -7.61364, 3.56405, 10.5905, 2.19613, -11.3725, 12.9678, 6.99115, -1.94341, -8.79818, -2.23121, -5.86875, -12.3149, 5.04279, -7.69947, 6.27476, ]; -1666.31; -6.88702, -13.5234, -12.1329, -10.7048, -17.06, -5.86837, -7.61364, -21.5752, 10.5905, -2.29767, -17.4384, 6.69466, 6.99115, -4.28978, -16.8671, -7.21686, 9.40179, 12.3149, 0.849833, -9.92329, 1.18072, ];
-125.761; 509.402; 95; -44.6002; [5.74565, -13.5234, -12.1329, -10.0272, -17.06, -5.86837, -7.61364, 3.56405, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -4.28978, -8.79818, 4.21196, -4.13536, 12.3149, 0.849833, -9.92329, -1.69293, ]; -50.4445; -6.88702, -13.5234, -10.4399, -10.7048, -8.5997, 0.788486, -7.61364, 3.56405, 10.5905, -2.29767, -17.4384, 6.69466, 6.99115, 3.48322, -8.79818, 4.21196, -5.86875, -1.7675, 0.849833, -9.92329, 15.738, ]; -5072.38; -6.88702, -13.5234, -10.4399, -10.7048, -8.5997, 0.788486, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, 3.48322, -8.79818, 4.00374, -4.13536, -12.3149, 0.849833, -9.92329, 15.738, ];
