mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
-10; 10; 0.9; -4405.86; 5739.54; 54; -1924.08; [-11.2199, -1.01774, -8.09901, -22.0894, -19.1135, -20.7585, 6.30462, -18.5236, -16.5572, -21.6554, -18.533, -6.75094, -17.9477, -8.96184, -23.4677, -7.6278, -4.3111, -8.77929, -27.1679, -17.3025, -11.5045, ]; -2089.76; [-26.2799, -9.85427, -20.1063, -22.0894, -19.1135, -6.11041, -17.9421, -27.2397, -16.5572, -20.5403, -9.62769, -17.9264, -4.75939, -15.9275, -23.4677, 6.54039, -22.7669, -16.1641, -25.2949, -8.1034, -6.9094, ]; -35252.3; [0.65508, 7.37822, 13.7008, 2.51038, 8.6232, -17.8574, -7.0428, -17.2339, -12.905, -13.0826, 2.72172, -14.9212, -11.5274, -9.69962, 10.0277, 0.98261, -11.5922, -23.4402, -17.3243, 0.0917499, -8.23855, ];
-10; 10; 0.9; -4493.77; 6058.63; 55; -1924.08; [-9.98242, -22.2671, -20.1063, -22.0894, -19.1135, -6.11041, -16.8733, -16.0842, -21.4112, -21.6554, -18.533, 5.506, -5.8235, -15.0472, -23.4677, 6.54039, -4.3111, -10.5504, 6.25934, -8.1034, -6.9094, ]; -2089.74; [-26.2799, -1.01774, -20.1063, -22.0894, -13.1454, -21.3525, 0.89483, -27.2397, -21.4112, -21.6554, -9.62769, -17.9264, -4.75939, -5.6993, -23.4677, 6.54039, -22.7669, -16.1641, -25.2949, -13.0199, -6.9094, ]; -29588; [-26.533, -35.1662, -11.2919, -4.66422, -13.148, -8.17361, -16.2339, -6.48514, -10.4939, -18.2258, -6.77671, 2.51101, -5.4194, -14.3111, -11.6031, -10.9866, -9.49191, 1.65258, -26.6043, -17.2369, 0.0882645, ];
-10; 10; 0.9; -5622.5; 9569.12; 56; -1924.11; [-10.1365, -2.19565, -27.6613, -4.78732, -20.8989, 0.419182, -23.2842, -11.6155, -12.4215, -3.26529, -12.8572, -5.25526, -18.6403, -25.0847, -10.9068, -15.4006, -13.5337, -10.8745, 5.4832, -4.26638, -8.55248, ]; -2089.74; [18.9598, -1.01774, -20.1063, -22.0894, -19.1135, 0.444201, 0.89483, -18.5236, -16.5572, -20.5403, -18.533, -17.9264, -5.8235, -15.9275, -23.4677, 6.54039, -4.3111, -8.77929, 6.25934, -15.7379, -6.9094, ]; -68130.4; [-16.1386, -6.87462, -5.03916, -2.30672, 6.24886, 2.57145, -16.1159, 3.23757, -8.32205, -12.1566, -3.57188, 0.503386, -29.1502, -24.4993, -15.9924, -2.13048, -7.28941, -0.222491, -3.24677, -18.9646, -11.9112, ];
-10; 10; 0.9; -5624.72; 9862.19; 57; -1924.35; [-14.7012, -9.85427, -20.1063, -22.0894, -19.1135, -6.11041, 0.89483, -16.1809, -21.4112, -21.6554, -18.533, -17.9264, -5.8235, -15.9275, -23.4677, 6.54039, -22.7669, -10.5504, 6.25934, -8.1034, -6.9094, ]; -2089.74; [18.9598, -1.01774, -20.1063, -22.0894, -13.1454, -6.11041, -13.5634, -27.2397, -21.4112, -21.6554, -9.62769, -17.9264, -4.75939, -15.9275, -11.0754, -7.6278, -22.7669, -16.1641, -25.2949, -13.0199, -6.9094, ]; -68130.4; [-16.1386, -6.87462, -5.03916, -2.30672, 6.24886, 2.57145, -16.1159, 3.23757, -8.32205, -12.1566, -3.57188, 0.503386, -29.1502, -24.4993, -15.9924, -2.13048, -7.28941, -0.222491, -3.24677, -18.9646, -11.9112, ];
-10; 10; 0.9; -3720.88; 4559.05; 58; -1924.35; [-14.7012, -9.85427, -20.1063, -22.0894, -19.1135, -6.11041, 0.89483, -16.1809, -21.4112, -21.6554, -18.533, -17.9264, -5.8235, -15.9275, -23.4677, 6.54039, -22.7669, -10.5504, 6.25934, -8.1034, -6.9094, ]; -2069.77; [-26.2799, -1.01774, -20.1063, -22.0894, -19.1135, -13.2808, 6.30462, -16.9654, -21.4112, -24.6622, -18.533, -6.75094, -4.75939, -15.9275, -23.4677, 6.54039, -20.124, -12.8907, -25.2949, -15.7379, 6.9094, ]; -35252.3; [0.554165, 0.820693, -32.4461, -5.67153, 5.35413, -11.2755, -12.4372, -7.82752, -17.9709, -11.8385, 1.98755, -15.1751, -10.2597, -2.3183, -21.8422, -15.0944, -6.56524, -4.70909, -13.1651, -6.93495, -9.45037, ];
-10; 10; 0.9; -6441.18; 19592.5; 59; -1924.08; [-14.7012, -1.01774, -20.1063, -22.0894, -19.1135, 4.89413, 21.0046, -18.5236, -21.4112, -21.6554, -15.4328, -17.9264, -5.8235, 15.9275, -23.4677, -7.6278, -4.3111, -16.1641, -19.9408, -18.4149, -21.5691, ]; -2069.75; [3.88121, -1.01774, -20.1063, -22.0894, -1.06931, -2.28906, -16.7471, -7.60255, -21.4112, -1.61228, -18.533, -6.75094, -5.8235, -15.9275, -0.437024, 6.54039, 3.67747, -10.5504, -25.2949, -15.7379, -17.6831, ]; -187041; [-14.7012, -9.85427, -20.1063, -22.0894, -19.1135, -6.11041, 0.89483, -16.1809, -21.4112, -21.6554, -18.533, -17.9264, -5.8235, -15.9275, -23.4677, 6.54039, -22.7669, -10.5504, 6.25934, -8.1034, -6.9094, ];
-10; 10; 0.9; -6066.55; 19079.1; 60; -1924.08; [-14.7012, -1.01774, -20.1063, -22.0894, -19.1135, 4.89413, 21.0046, -18.5236, -21.4112, -21.6554, -15.4328, -17.9264, -5.8235, 15.9275, -23.4677, -7.6278, -4.3111, -16.1641, -19.9408, -18.4149, -21.5691, ]; -2089.78; [-6.13056, 2.86625, -12.4895, 5.44121, -15.1948, -14.7263, -12.1832, -21.5334, -10.9344, 2.89514, -8.58647, -4.83205, -4.63609, -7.33847, -15.9564, -1.3742, -30.0844, -9.55177, -5.91261, -0.564625, -9.21977, ]; -187041; [-14.7012, -9.85427, -20.1063, -22.0894, -19.1135, -6.11041, 0.89483, -16.1809, -21.4112, -21.6554, -18.533, -17.9264, -5.8235, -15.9275, -23.4677, 6.54039, -22.7669, -10.5504, 6.25934, -8.1034, -6.9094, ];
-10; 10; 0.9; -4760.58; 13971.7; 61; -1924.08; [-14.7012, -1.01774, -20.1063, -22.0894, -19.1135, 4.89413, 21.0046, -18.5236, -21.4112, -21.6554, -15.4328, -17.9264, -5.8235, 15.9275, -23.4677, -7.6278, -4.3111, -16.1641, -19.9408, -18.4149, -21.5691, ]; -2089.75; [-14.7012, -9.85427, -20.1063, -22.0894, -19.1135, -21.3525, 21.0046, -3.1642, -21.4112, -22.9954, -18.533, -17.9264, -4.75939, -8.96184, -23.4677, 6.54039, -17.0585, -8.77929, 6.25934, -15.7379, -6.9094, ]; -137188; [-16.6602, -9.37759, -34.9625, -12.5468, -2.49458, -18.6781, -3.78797, 3.17681, -3.93033, 10.5356, -5.64016, -2.46824, 1.65832, -5.07007, -11.2652, -12.3065, -1.85605, -8.57039, -13.6245, -2.69973, -1.74232, ];
-10; 10; 0.9; -5375.49; 9930.27; 62; -1924.08; [-14.7012, -1.01774, -20.1063, -22.0894, -19.1135, 4.89413, 21.0046, -18.5236, -21.4112, -21.6554, -15.4328, -17.9264, -5.8235, 15.9275, -23.4677, -7.6278, -4.3111, -16.1641, -19.9408, -18.4149, -21.5691, ]; -2134.4; [-14.7012, -22.2671, -20.1063, -22.0894, -19.1135, -21.3525, 21.0046, -16.9654, -21.4112, -22.9954, -18.533, -17.9264, -26.687, -8.96184, -23.4677, 6.54039, -17.0585, -8.77929, 6.25934, -3.91028, -6.9094, ]; -84115.3; [-14.4139, 6.49928, -10.9128, -7.43432, 5.83254, -25.4169, 4.60365, -17.5918, 10.2994, -4.38554, 7.99639, -14.0186, -6.59558, 3.84211, -12.3693, 1.57612, -9.97053, -2.04037, -4.04829, 5.48384, 0.213279, ];
-10; 10; 0.9; -8066.59; 22252.3; 63; -1924.07; [-14.7012, -1.01774, -20.1063, -22.0894, -19.1135, -13.2808, 6.30462, -7.60255, -21.4112, -21.6554, -18.533, -17.9264, -5.8235, -15.9275, -23.4677, -7.6278, -20.124, -16.1641, 6.25934, -18.4149, -6.9094, ]; -2121.73; [-14.7012, -1.01774, -20.1063, -27.901, -19.1135, 5.75324, 21.0046, -18.5236, -4.49477, -22.9527, 1.42405, -9.81917, -21.5908, 15.9275, -21.0857, -7.6278, -4.3111, -14.6359, -19.9408, -18.4149, -21.5691, ]; -184634; [-20.487, -39.4714, -21.6665, 2.60781, -0.392423, -9.83122, -8.97077, 5.63252, -6.53732, -14.5688, 3.76404, -6.19334, -25.4371, 0.45308, -0.474701, -7.82603, -2.56164, 6.59765, -21.268, 7.99442, -21.8502, ];
-10; 10; 0.9; -5631.77; 13870.5; 64; -1924.08; [-14.7012, -1.01774, -20.1063, -22.0894, -19.1135, 4.89413, 21.0046, -18.5236, -21.4112, -21.6554, -15.4328, -17.9264, -5.8235, 15.9275, -23.4677, -7.6278, -4.3111, -16.1641, -19.9408, -18.4149, -21.5691, ]; -2011.06; [-14.7012, -1.01774, -10.5646, -22.0894, -19.1135, 4.89413, 6.30462, -16.9654, -21.4112, -21.6554, -18.533, -17.9264, -5.8235, -15.9275, -23.4677, 6.54039, -22.7669, -16.1641, 6.25934, -18.4149, -6.9094, ]; -111747; [-14.7012, -9.85427, -10.5646, -22.0894, -19.1135, -6.11041, 6.30462, -16.9654, -21.4112, -21.6554, -18.533, -17.9264, -5.8235, -15.9275, -23.4677, 6.54039, -4.3111, -16.1641, 6.25934, -15.7379, -20.5223, ];
